Sentence,Intent
"No, that will be all, thank you for your help.",NEGATE
I am looking for something to do tonight and would like to find a movie that I can watch.,INFORM_INTENT
I would like to find movies shown in Moraga tonight.,INFORM
What time is Hotel Mumbai being shown?,INFORM_INTENT
Lets watch it on the 2nd of this month and right now I will watch a regular T.V. show.,INFORM
That is good! Thank you.,SELECT
What movies are being shown in Healdsburg?,INFORM
I love Dumbo.,SELECT
I don't want to buy them now.,NEGATE_INTENT
What times are available?,INFORM_INTENT
"I want to see it 1st of March, in imax, at Raven Film center.",INFORM
Okay.,SELECT
No. Thanks for your help.,NEGATE
I wish to search for a movie at Tiburon Playhouse.,INFORM
Could you please find the movie in Tiburon?,INFORM
I prefer Long Shot.,SELECT
Nope. This time I not interested in booking now. Which time shall I see it?,INFORM_INTENT
I wish to see it on the 9th.,INFORM
Can you find me a movie shown in Vallejo,INFORM
Can you search regular show movies shown in Santa Clara,INFORM
Any other movies available?,INFORM
Long shot sounds great. I want to watch on the 11th at AMC Mercado,INFORM
ok perfect,SELECT
No not now,NEGATE_INTENT
No thats it,NEGATE
I want to watch a movie in Larkspur. I want to watch some Horror movies.,INFORM
"Yes, I want to watch The Curse of La Llorona.",SELECT
What are the showtimes for the 1st of March?,INFORM
Great! That's all I need.,SELECT
I need help finding a movie to watch.,INFORM_INTENT
I'm in Redwood City. Are there any Adventure movies playing at Century Redwood City?,INFORM
Shazam! sounds good. What times are available?,INFORM_INTENT
On March 4th.,INFORM
How much is a ticket?,REQUEST
Sounds good. That's what I needed.,SELECT
I'm looking for a movie at CineLux Tennant Station.,INFORM
"Something in Adventure at Morgan Hill, a regular show.",INFORM
"Shazam sounds good, what times are there for Monday next week?",INFORM
"No, that's all.",NEGATE
I'm looking for a movie.,INFORM_INTENT
Look in Santa Rosa.,INFORM
What time is After playing later today?,INFORM
I need an address.,REQUEST
Awesome. I don't need anything else.,SELECT
I'm looking for a movie to see preferably in Livermore.,INFORM
I'd like to see High Life. I'd like to see a 3d show. What time could I see it?,INFORM
The day after tomorrow.,INFORM
"That's perfect, I'm all set.",SELECT
I would love to watch a movie right now. What's playing right now?,INFORM_INTENT
Find movies in the Santa Rosa area please.,INFORM
"Eh, I kind of want to watching something a little more regular. Can you find what is playing at the Airport Stadium Cinemas?",INFORM
Curse of La Llorona sounds great. What time is it playing?,INFORM_INTENT
I plan on going to the theater Friday next week.,INFORM
"Gosh, that's kind of late. How much is a ticket?",REQUEST
That's not too bad.,SELECT
"No, not right now, but thank you.",NEGATE_INTENT
Find me please a movie to watch at Airport Stadium Cinemas,INFORM
In Santa Rosa search me please.,INFORM
Find me something else please.,REQUEST_ALTS
Is perfect The Curse of La Llorona.At what time can I watch?,INFORM_INTENT
It will be perfect for me to watch on next Friday.,INFORM
Sounds perfect.,SELECT
"No,I dont want now.That is all I need now",NEGATE_INTENT
"Hey, I want a movie. Find me one in San Ramon, please. A good one this time!",INFORM
"Cool, but find some other ones too please. I love Adventure movies.",INFORM
"Yeah, I heard of that one! I want to see Shazam then. What showtimes are there today? Actually I'm free on the 2nd.",INFORM
Yeah! That works.,SELECT
"No, I don't want to purchase them ahead of time. I don't need to. But thank you!",NEGATE_INTENT
I prefer Union City.,INFORM
Can you find some other choices? I prefer an adventure movie at Century Union Landing.,INFORM
Shazam! sounds good.,SELECT
Not at this time. What time is it playing?,INFORM_INTENT
I would like to see it at an imax show on March 4th.,INFORM
Are there any other times available?,REQUEST_ALTS
Please find me a non-fiction movie at the Roxie Theater.,INFORM
Please search in the San Francisco area.,INFORM
JT LeRoy works for me.,SELECT
No. That's ok. I'm interested in the time for a regular show.,INFORM
Let's try the day after tomorrow.,INFORM
Ok. Great. That's all for now.,SELECT
Can you help me find an adventure movie showing in concord?,INFORM
Shazam! sounds great!,SELECT
"No, not at the moment.",NEGATE_INTENT
"Yeah, what time can I go see the movie?",INFORM_INTENT
I'd like to go watch it next wednesday.,INFORM
"Awesome, thats all I need to know.",SELECT
I'm looking for a 3d movie in Brentwood.,INFORM
"No. Also, you can look at any theatre.",INFORM
"No, what other movies are there?",REQUEST_ALTS
"Perfect, I'll go with The Curse of La Llorona.",SELECT
"no, please don't purchase it now.",NEGATE_INTENT
What time is it available to watch?,INFORM_INTENT
On the 7th.,INFORM
"Nope, I'm all set.",NEGATE
I'm really bored. Can you find me a movie to watch in Union City?,INFORM
Nah I've already seen those. Find me something else.,REQUEST_ALTS
Hotel Mumbai! Yes! Will there be a showing at Century Union Landing?,INFORM
"That's a little late, but it sounds good. Thank you that will be all I need.",SELECT
I am looking for something to see in the movies. What is there in theaters?,INFORM_INTENT
I am looking for movies in San Ramon.,INFORM
"I am not interested in those, are there any Adventure movies?",INFORM
"Yes, I want to go see Shazam!",SELECT
What are the schedules for the movie on the 2nd of March?,INFORM
"No, that would be all.",NEGATE
I wanna find a movie to watch. Can you search for movies in Alameda?,INFORM
Hellboy sounds good to me.,SELECT
"Nope, not now. What time can I watch it? I wanna watch it at Alameda Theatre & Cineplex. Any type of show is fine.",INFORM
I wanna watch it on the 1st.,INFORM
What's the address?,REQUEST
Sounds good. That's all I need for now.,SELECT
I want to watch a Suspense movie at Century Cinemas.,INFORM
Century Cinemas is in San Leandro.,INFORM
Pet Sematary is perfect.,SELECT
"No, not now. What time is the showing?",INFORM_INTENT
I want to go on March 3rd.,INFORM
"That is perfect, that is all.",SELECT
Yes. Search in San Bruno.,INFORM
"I want to want at Century at Tanforan, find some other movies.",INFORM
How to Train Your Dragon: The Hidden World is perfect,SELECT
No i don't want. What time i can watch,INFORM_INTENT
I want to watch on 1st of this month.,INFORM
Ok. That is all i need,SELECT
Can you check for a regular showing of a horror movie in Redwood City.,INFORM
No. That's ok. What time is it playing.,INFORM_INTENT
Please check the 1st of this month.,INFORM
Sounds perfect. That's all.,SELECT
Can you help me find a Comic movie?,INFORM
I also like drama movies. Can you find a movie in Sebastopol?,INFORM
Can you find other movies? I want to see an IMAX movie at Rialto Cinemas.,INFORM
The Best of Enemies sounds good.,SELECT
What times do you have available? I don't want to buy them right now.,INFORM_INTENT
March 1st.,INFORM
What is the theater's address?,REQUEST
"That is all I need, thank you.",SELECT
"Life is very enthuastic and energitic , i need to enjoy it almost every moment in my life. Will you find a movie to watch? Any type of movies is opt for me.",INFORM
Find movies in San Francisco area?,INFORM
I like Ash Is Purest White.,SELECT
"No, thanks , I don't want it now?",NEGATE_INTENT
I need the time to watch that movie. will you find the time to watch?,INFORM_INTENT
I want it on Saturday this week.,INFORM
whether any other time is available and i need to watch a imax show and need to watch at Embarcadero Center Cinema.,INFORM
Ok its great and its suits me,SELECT
"No ,Thanks for your immense help",NEGATE
Can you help me find Biographical movies to watch? It's been a while since I've seen one in the theatre.,INFORM
I'm looking for movies in Morgan Hill.,INFORM
Breakthrough is perfect. Are there any times for the 3rd?,INFORM
Are there any other times?,REQUEST_ALTS
Can you try March 1st at CineLux Tennant Station?,INFORM
"Sounds good, that's what I needed.",SELECT
Can you find me an Imax movie Show?,INFORM
search for me in Sebastopol.,INFORM
"The best of enemies will be good, find the show time.",INFORM_INTENT
make a search for 1st of this month.,INFORM
Find me the details about ticket cost and the theater address.,REQUEST
That will okay for me.,SELECT
"No, not now, thanks.",NEGATE_INTENT
"I'm so bored. I want to get out of the house, maybe see a movie.",INFORM_INTENT
Find me a movie in Santa Clara.,INFORM
I've seen the trailer for Hellboy and it looks pretty sick. I want to see that.,SELECT
"Yea, when is the movie playing?",INFORM_INTENT
"I'm planning on going to see it on the 4th of this month, as I have off from work. I'm hoping to catch the imax show at AMC Mercado.",INFORM
"Okay, nice. What genre is Hellboy listed as?",REQUEST
"Nice, I love fantasy.",SELECT
"No, that will be all, but thank you very much for your help.",NEGATE
I want to watch a a imax movie. I love the Ghost movies.,INFORM
Show me movies for Mountain View.,INFORM
The Curse of La Llorona sounds good.,SELECT
No not right now. What time is it playing?,INFORM_INTENT
Tomorrow at Century Cinema,INFORM
Is there any other show times?,REQUEST_ALTS
No that will be all.,NEGATE
I'm searching for movies to watch. I prefer Drama movies,INFORM
Could you search for movies in Menlo Park.,INFORM
Red Joan is an excellent one.,SELECT
No. I dont want to buy now.,NEGATE_INTENT
What time can I see it? I want to watch on the 9th and a 3d show.,INFORM
Whats the ticket fare and address of the theatre?,REQUEST
Sounds great for me,SELECT
No Thats all. Thanks a lot,NEGATE
Will you help me find a movie?,INFORM_INTENT
Pleasant Hill.,INFORM
Anything else? I am looking for Scary movies.,INFORM
Curse of La Llorona sounds great. Is it playing on 6th of March?,INFORM
How much?,REQUEST
I'd like to find a movie to see.,INFORM_INTENT
"I'd like to see the movie in Union City, and I'd like it to be a Thriller movie.",INFORM
"Oh, I'd love Pet Sematary.",SELECT
"No, I'm not looking to buy right now.",NEGATE_INTENT
"Yes, what's the time of that movie?",INFORM_INTENT
"I'd like to see it on March 2nd, and I want it to be a 3d show.",INFORM
I want to go to a movie. What's playing?,INFORM_INTENT
Somewhere in San Fran.,INFORM
Let's hear the others.,REQUEST_ALTS
Tell me what is showing at the CineLux Tennant Station in Morgan Hill.,INFORM
Ooh. I want to see Pet Sematary.,SELECT
Not right now. What times are available. I'd liek to see it in Imax if possible.,INFORM
On the 1st of March.,INFORM
What genre is this movie? And where is the theatre's located,REQUEST
No. Thanks for you help.,NEGATE
Can you search for movies shown in Sonoma?,INFORM
Long Shot sounds great.,SELECT
"No, Don't buy it now.",NEGATE_INTENT
"I want to watch the movie on 9th of this month, can you tell me the timing?",INFORM
Can you tell me the address of the theater and the price of the ticket?,REQUEST
Can you find movies being shown in Vallejo?,INFORM
Dumbo seem like a good choice.,SELECT
"No, I don't want to get them right now.",NEGATE_INTENT
Do you know the time I can watch it? I want it to be an imax show.,INFORM
Probably later today.,INFORM
What sort of movie is it?,REQUEST
That seems good. That'll be all.,SELECT
Find me a movie please,INFORM_INTENT
Make it San Bruno,INFORM
No. Maybe look at the Century at Tanforan,INFORM
I'll see Shazam,SELECT
"I'll go on March 1st, a regular screening",INFORM
Not right this minute. Thanks,NEGATE_INTENT
What are some movies I can watch in Hayward?,INFORM
Dumbo sounds good.,SELECT
What time can I watch it on Wednesday next week?,INFORM
How much is it for a ticket?,REQUEST
"Perfect, thanks.",SELECT
I'm looking for a movie to watch at THE LOT City Center.,INFORM
"I'm in San Ramon, so search for movies near there.",INFORM
"I'm not interested in any of those, can search some more. And I want to watch the movie in imax.",INFORM
Little would work well.,SELECT
"No, don't get me tickets. But can you tell me what time I can see it. I want to see it on March 1st?",INFORM
Are there any other times it's playing?,REQUEST_ALTS
"No, thanks for helping me.",NEGATE
I am looking for a regular movie to watch.,INFORM
Search for Morgan Hill.,INFORM
What time is Dumbo showing?,INFORM_INTENT
March 1st please.,INFORM
How much does it cost?,REQUEST
No not now. That is everything for now thanks.,NEGATE_INTENT
I will have some free time coming up and am thinking I might go see a movie. What movies are showing in Alameda at the Alameda Theatre & Cineplex?,INFORM
"No, are there any adventure movies showing in 3d?",INFORM
"Ok, Shazam will be perfect! I can't wait to see it!",SELECT
"Yes, actually, what time is the movie?",INFORM_INTENT
I will probably be going on the 2nd.,INFORM
"Alright, that sounds great!",SELECT
"No thanks, I don't want to buy them yet. I am not positive that I will be able to go that day. I don't need anything else.",NEGATE_INTENT
I want to go see a movie.,INFORM_INTENT
"I love adventure movies a lot and I want to see one of those. Can you find me a movie like that in San Jose? Preferably IMAX too, please.",INFORM
"Yeah, I heard of that one! Captain Marvel sounds good. What are the showtimes?",INFORM_INTENT
I want to watch it on the 1st of this month. Are there any good showtimes at AMC Saratoga?,INFORM
"Yeah, that sounds really good.",SELECT
I don't want to buy them just yet. I might be busy at that time.,NEGATE_INTENT
"No, but thank you!",NEGATE
Look for movies shown in Martinez,INFORM
Find other movies and any type of show,INFORM
Missing Link is good,SELECT
No I will not purchase now,NEGATE_INTENT
I want to watch it today,INFORM
sounds very good. That is all I will be needing,SELECT
I want to find a Suspense movie to watch in Moraga.,INFORM
Hotel Mumbai works for me.,SELECT
Not right now. What time can I watch it at Rheem Theatre?,INFORM
I want to see it on the 2nd.,INFORM
"That's perfect, thanks",SELECT
I have just finished my business meeting and have free time on my hands. Could you please help me find a movie to watch?,INFORM_INTENT
Please search for movies showing at the Pruneyard Cinemas in Campbell.,INFORM
I would love to watch Hellboy.,SELECT
"No, thank you. I don't want to buy right away.",NEGATE_INTENT
What time can I watch an imax show?,INFORM
March 2nd would be perfect.,INFORM
"Could you please find out the theater address, as well as the ticket price?",REQUEST
Sounds perfect. That will be all.,SELECT
I want to find a 3d movie.,INFORM
I'll be in Brentwood. Could you look for movies there?,INFORM
I think Dumbo will be the best choice.,SELECT
Not yet. What are the times for Dumbo?,INFORM_INTENT
We'll be ready to watch it on the 1st of March.,INFORM
That sounds good. I will get tickets later.,SELECT
"No, thanks. That's it for now.",NEGATE
I am looking for a movie I can watch.,INFORM_INTENT
I enjoy documentary movies. Are you able to look for movies showing in Morgan Hill?,INFORM
Breakthrough sound perfect.,SELECT
"No, not right now. What is the time that I can see it? I want to see it on the 3rd.",INFORM
"No, that's it. Thanks very much for your help.",NEGATE
Hi! Can you help me find a movie?,INFORM_INTENT
I live in San Bruno.,INFORM
I would love to see Dumbo! Can I see it this Saturday?,INFORM
What genre is the movie? What's the theater's address?,REQUEST
I'm not sure I can make the 1 pm showing. Is there another time the movie is showing?,REQUEST_ALTS
"Oh, darn. No, that will be all.",NEGATE
I'd like to find a movie to watch. I like all movies.,INFORM
Can you help me find movies showing in Newark?,INFORM
Breakthrough sounds great. What times were available?,INFORM_INTENT
I'd like to watch it on the 5th.,INFORM
How much is the ticket for?,REQUEST
Sounds great. That's all I need for now.,SELECT
I'd like to go somewhere in Oakland.,INFORM
Anything else available to watch?,REQUEST_ALTS
I'd like something else. I forgot to mention but I'm into Comic movies.,INFORM
Stockholm sounds perfect? When can I watch it?,INFORM_INTENT
I'd like to go on the 7th.,INFORM
Do you know the theater's address as well as the ticket price?,REQUEST
That sound perfect.,SELECT
"No, thanks. That will be all for now!",NEGATE
"Please can you look for a good movie to watch for this week end, might be in San Jose?",INFORM
"Nope, not the hilarious nightmare movies. Please find something else.",REQUEST_ALTS
"Do you mean the adventurous movies? Nope, Please find something else for I like all kinds if its good to watch.",INFORM
"Yup, Little would be perfect. What time is the show? Do they have 3d shows? Will tickets be available to watch at CineLux Almaden?",INFORM
"Probably, on March 8th.",INFORM
I would like to know how much the ticket costs?,REQUEST
"Can I have the correct location of the theatre? I mean, address..",REQUEST
Perfect! Sounds nice.,SELECT
"Nope, thanks. Done.",NEGATE
"Hello, could you help me find a movie currently showing in Oakland?",INFORM
Fighting with My family sounds great!,SELECT
"No, I do not wish to reserve the tickets now.",NEGATE_INTENT
What are the showtimes for this movie at New Parkway Theater?,INFORM
I would like to watch it on 5th of March.,INFORM
What genre does this movie belong to and how much does the ticket cost?,REQUEST
"No, that's all. Thank you very much!",NEGATE
"I want to go out to watch a movie in San Francisco, can you search for options?",INFORM
What else is there?,REQUEST_ALTS
Please keep searching. I'd like to see a drama at the Embarcadero Center Cinema.,INFORM
Red Joan is perfect! What time can I see a 3d show on March 5th?,INFORM
"How much is it, and what's the address of the theater?",REQUEST
"Thanks a lot, that's all I need.",SELECT
I would like to see a movie at the AMC Bay Street.,INFORM
Please search for movies in Emeryville.,INFORM
No. Please search for a Comic imax show.,INFORM
What time is Missing Link playing?,INFORM_INTENT
I would like to watch the movie Friday next week.,INFORM
What is the ticket cost and what is the theater address?,REQUEST
I'd like to watch a movie at Reading Cinemas Rohnert Park.,INFORM
I'm in Rohnert Park. Please find me a scary movie.,INFORM
"No, not at the moment. What are the available times for March 1st?",INFORM
"Sound good. Thank you, that's all.",SELECT
"My brother and I want to go see an adventure movie, can you help find one?",INFORM
"Alameda is a good half way point between my brother and I , let's search there.",INFORM
I've heard Shazam! is really good. I think we'll watch that one.,SELECT
"No, not at this very moment.",NEGATE_INTENT
What time is the movie playing at the Alameda Theatre & Cineplex?,INFORM
How about tomorrow.,INFORM
"Okay, how much do the tickets cost and can you provide me with the location of the theatre?",REQUEST
No that is all I needed for now.,NEGATE
find me a movie to watch please. Any show will work,INFORM
please search Mill Valley for movies.,INFORM
The Best of Enemies sound great.,SELECT
No. Not right now. What are the show times?,INFORM_INTENT
How about on the 1st.,INFORM
Wait. How much are the tickets? Is this a Horror movie?,REQUEST
Sounds really good.,SELECT
No. That's all for today.,NEGATE
Santa Rosa. Any good movies around here?,INFORM
After sounds great.,SELECT
"Nah, I'm not going to get them yet.",NEGATE_INTENT
What time is After playing? I would like to see a regular show at Roxy Stadium Cinemas.,INFORM
"Preferably, the 1st of this month.",INFORM
Perfect. Thanks for your help.,SELECT
"I'm planning on seeing a movie, I don't know what to watch.",INFORM_INTENT
"Its Santa Clara, so please search for movies nearby.",INFORM
"Not really, can you recommend me something else?",REQUEST_ALTS
"Is there anything else, any type of movie will do.",INFORM
"I think I will watch Missing Link, what are its showtimes?",INFORM_INTENT
"I want to watch it at AMC Mercado, on the 4th of this month.",INFORM
"How much are the tickets going to cost, and what is the genre of the movie?",REQUEST
"Great, that all sounds good.",SELECT
"No, that will be all for now, thank you.",NEGATE
I'm interested in watching a movie.,INFORM_INTENT
Search for movies in Vallejo.,INFORM
"Oh, I want to watch Captain Marvel.",SELECT
"No, not at the moment. What time is it showing?",INFORM_INTENT
the 2nd of this month.,INFORM
I'm looking to watch a movie.,INFORM_INTENT
Look for movies in San Fran.,INFORM
What else is there? I want to see an imax movie.,INFORM
Hotel Mumbai is good. What time is it showing?,INFORM_INTENT
The 1st of this month at Presidio Theatre.,INFORM
How much is it? And what's the address?,REQUEST
"No, I don't need to now.",NEGATE_INTENT
"No, I'm good.",NEGATE
I want to see a film.,INFORM_INTENT
Please search for movies in San Francisco.,INFORM
I want to watch something different like a 3D show. And I want to see it at Century San Francisco Centre.,INFORM
The Curse of La Llorona is excellent? What time is it playing?,INFORM_INTENT
How about Thursday next week.,INFORM
No thank you. That's all I wanted.,NEGATE_INTENT
I am in San Francisco.,INFORM
I want another movie. Any theater in Moraga is fine.,INFORM
Hotel Mumbai is a good movie.,SELECT
Not at this time. When is the movie showing?,INFORM_INTENT
I want to see it tomorrow.,INFORM
Is there another time? I want to see it on the 5th of this month.,INFORM
I am feeling bored. Is there any Fantasy movies laying?,INFORM
I want to see the movie in San Fran.,INFORM
Is there anything else showing?,REQUEST_ALTS
"Yes, I would like to see Penguin Highway.",SELECT
Not just yet.,NEGATE_INTENT
What time is it showing?,INFORM_INTENT
I would like to see it on the 9th of this month.,INFORM
"Ok, fine. That would be all.",SELECT
"I want to go out in Petaluma, can you see what movies there are?",INFORM
Can you see what else there is? I'm in the mood for adventure films. Can you look at Boulevard Cinema?,INFORM
"Shazam! sounds great, when is it on?",INFORM_INTENT
The 4th of this month,INFORM
"Yeah that sounds good. Thanks, I don't need anything else",SELECT
"Hey, I'd like to watch a movie, can you help me?",INFORM_INTENT
"I'm in San Jose, please find me a movie to watch around here.",INFORM
"Breakthrough sounds great, thanks. I'd like to see it in 3D, when is it on?",INFORM
"On the 3rd of this month, if possible.",INFORM
That's perfect. That'll be all.,SELECT
I'd like to look for a film to watch. I like adventure films.,INFORM
Could you look for films shown in Napa?,INFORM
I'd love Captain Marvel. When can I watch it? I'd like to watch a regular show.,INFORM
I'd like to watch it on the day after tomorrow.,INFORM
That sounds wonderful; that's all.,SELECT
"I want to go out and see a movie, can you find a good one for me?",INFORM_INTENT
I'm in Larkspur.,INFORM
Auntie Mame is perfect!,SELECT
"No, not yet. But what time will I be able to watch a regular show?",INFORM
I want to watch it on March 7th.,INFORM
"No, that's all for now, thanks.",NEGATE
Can you help me to find a movie to watch?,INFORM_INTENT
I prefer movies shown in Santa Rosa.,INFORM
No thank you. Can you search for movies showing at Century at Tanforan in San Bruno.,INFORM
Can you please list other movies? I'd prefer a regular show.,INFORM
I would like to see Little. What time is the show?,INFORM_INTENT
On the 5th please.,INFORM
Can you get me the address of the theater and ticket price please?,REQUEST
Wonderful thanks. That is all.,SELECT
I want all kinds of movies,INFORM
Find movies in San Leandro,INFORM
Breakthrough works,SELECT
I wanna watch at the Century Cinemas,INFORM
I wanna see it on the 2nd,INFORM
sounds very good,SELECT
No thanks for the help,NEGATE
I feel good right now and would like to watch a movie. Can you search for movies shown in San Bruno?,INFORM
Can you search for another one? I would like to watch Century at Tanforan.,INFORM
Little is perfect. I want to watch it.,SELECT
"No, I don't want to purchase it right now.",NEGATE_INTENT
What time is the movie available on Tuesday next week?,INFORM
That's great for me.,SELECT
No. That was all. Thank you.,NEGATE
I want a 3d movie to watch.,INFORM
Can you search in San Jose?,INFORM
Find something else. Can you show what is on in Union City?,INFORM
"Find something else, please.",REQUEST_ALTS
Pet Sematary is perfect. What time is it on? I want to watch at Century Union Landing.,INFORM
I want to see it this Saturday.,INFORM
Find me movies showing around Brentwood.,INFORM
Find me some other movies showing at AMC Brentwood.,INFORM
No. Any other options?,REQUEST_ALTS
Pet Sematary will be perfect!,SELECT
No. Hold on. Maybe later.,NEGATE_INTENT
What's the showtime for Pet Sematary on next Tuesday?,INFORM
How much the ticket cost?,REQUEST
Sounds good to to me.,SELECT
No. Thank you for the help.,NEGATE
I want to find a movie to watch?,INFORM_INTENT
Can you search for movies in Santa Rosa.,INFORM
Please find some other movies at Airport Stadium Cinemas.,INFORM
Little is perfect. What time can i watch it?,INFORM_INTENT
I want to watch 3d show on 1st of March,INFORM
"Yes, that works for me",SELECT
"No, I don't want now. That is all i need.",NEGATE_INTENT
Can you recommend a movie for me to see?,INFORM_INTENT
I want to see a movie in San Fran.,INFORM
"I'd prefer something else, in Menlo Park, any theater.",INFORM
Red Joan sounds great.,SELECT
"Not now, no.",NEGATE_INTENT
What time is the movie on?,INFORM_INTENT
The 9th of March.,INFORM
"Thanks, that's all.",SELECT
I'm looking for a good movie.,INFORM_INTENT
Look in Morgan Hill.,INFORM
What other movies are playing?,REQUEST_ALTS
What time later today is Pet Sematary playing?,INFORM
"Not right now, thank you.",NEGATE_INTENT
"I'm fine, thank you.",NEGATE
My friends came to my house and i am in joyful mood .will you find any adventure movies to watch along with my friends?,INFORM
find any movies which is shown in Daly City?,INFORM
Shazam is good one.I like to watch it with my friends.,SELECT
"No, I Don't want it now but later.",NEGATE_INTENT
Can you tell me the time i shall able to watch that movie on 4th of March at Century Daly City?,INFORM
Tell me about the cost of the ticket for that movie?,REQUEST
Ok that's great and sounds good to me.,SELECT
Find movies to watch please.,INFORM_INTENT
I would like to watch a regular show. Please search in San Jose.,INFORM
Oh yes! A Madea Family Funeral. I've been wanting to see this picture.,SELECT
No. I don't want to buy any tickets.,NEGATE_INTENT
I would like to know what time it's playing at the West Wind Capitol Drive-in?,INFORM
Look up for 1st of March please.,INFORM
Perfect. Thanks for your help. That will be all.,SELECT
I want to watch a movie at Sonoma Cinema.,INFORM
I want to find movies in Sonoma.,INFORM
Are there any other movies? I want to watch something in 3d.,INFORM
Shazam! sounds great! I want to watch in Tuesday next week. What times are there?,INFORM
"No, I'll purchase later. That is all.",NEGATE_INTENT
"I want to go out to watch a movie, can you find me some good shows in Pleasant Hill?",INFORM
I like the sound of The Curse of La Llorona. What time can I watch it if I want to see a regular show at Century Downtown?,INFORM
I want to watch it on 6th of this month.,INFORM
That sounds good. That's all I need for now.,SELECT
Can you find me a movie to see?,INFORM_INTENT
Find me movies in Morgan Hill.,INFORM
Find me something else like a regular show.,INFORM
Shazam! works for me.,SELECT
"No, now right now. I want to see it at CineLux Tennant Station on the 4th of this month. What time is it playing then?",INFORM
I am in a mood to watch some movie.,INFORM_INTENT
Show me movies in Santa Clara. I would prefer a regular show.,INFORM
I think Dumbo sounds great. What are the timings for it and I want to see it on the 1st.,INFORM
OK. That is all.,SELECT
I'd like a location in San Ramon.,INFORM
Anything else available?,REQUEST_ALTS
I'd like a Ghost movie. Can you find anything else?,INFORM
The Curse of La Llorona sounds awesome!,SELECT
Do you know screening times for this movie for Saturday this week.,INFORM
Any other showtimes? I'd prefer watching it in 3d at Regal Crow Canyon.,INFORM
Perfect. Do you know the theater's address?,REQUEST
Can you please tell me the ticket price?,REQUEST
That's perfect. That will be all for now!,SELECT
"Hey, can you help me find a movie theater?",INFORM_INTENT
Could you look in Union City?,INFORM
Captain Marvel works. What are the times?,INFORM_INTENT
It will be on the 7th of this month.,INFORM
I am in Alameda.,INFORM
What are the other options?,REQUEST_ALTS
Missing Link sounds good. What time is it on at?,INFORM_INTENT
March 2nd please.,INFORM
How much is the ticket and what genre is the movie?,REQUEST
No not right now. That is everything for now thanks.,NEGATE_INTENT
I would like to see a Fantasy movie.,INFORM
I want to see a movie in Mountain View.,INFORM
I would like to see Dumbo. What time is it showing at ShowPlace ICON?,INFORM
Any time on the 1st of March,INFORM
That would be awesome.,SELECT
No. You have already been helpful.,NEGATE
My friend and I are looking for a movie to go to. What movies are showing in San Rafael?,INFORM
"Oh, I forgot about Captain Marvel. That one would be perfect.",SELECT
"No, I am not going to purchase a ticket yet.",NEGATE_INTENT
"Actually, what time is the movie. I want to see it in an imax theater.",INFORM
I am hoping to go on the 1st of March.,INFORM
"Alright, how much is that ticket?",REQUEST
What type of movie is Captain Marvel? I just want to make sure it is the one I had in mind.,REQUEST
"OK, I think that is the right one. That's all I need today.",SELECT
I am looking for movies being show in San Jose.,INFORM
"No, find some other movies.",REQUEST_ALTS
"No, find some other movies. Search for movies being shown in Santa Rosa instead. Any type of movie is fine.",INFORM
I want to watch How to Train Your Dragon: The Hidden World.,SELECT
"No, I do not want to purchase tickets right now?",NEGATE_INTENT
What time can I watch it on March 2nd at 3rd Street Cinema.,INFORM
I would like to find a movie to watch in Sonoma.,INFORM
Shazam would be great. What time is it showing?,INFORM_INTENT
I want to watch a 3d showing of it on the 5th of March.,INFORM
Where's the theater at? And how much is it?,REQUEST
"No, I don't want to buy them right now.",NEGATE_INTENT
"Nope, that'll be all. Thanks again!",NEGATE
I wanna see movies to watch,INFORM_INTENT
search for movies shown in SFO,INFORM
Ash Is Purest White is good,SELECT
I would like to see it tomorrow,INFORM
I wanna see Embarcadero Center Cinema and in imax,INFORM
what is the ticket cost?,REQUEST
I'd like to search for a fun film to watch.,INFORM_INTENT
Could you find films shown in San Ramon for me?,INFORM
Please look for other films. I would like to watch at The Lot City Center.,INFORM
Little is the one for me. When can I watch it? I'd like to watch it today.,INFORM
That sounds perfect for me.,SELECT
"Nah, I don't feel like buying right now. That's all.",NEGATE_INTENT
I want to go to the movies. Is there something in theaters in Newark?,INFORM
Are there other movies playing?,REQUEST_ALTS
What are the show times of Missing Link?,INFORM_INTENT
I want to go the 1st of this month.,INFORM
Do you know the price of the ticket? Where is that theater?,REQUEST
Around SFO would be good.,INFORM
Body Double sounds good. What time is it showing on the 15th of March at the Alamo Drafthouse Cinema,INFORM
Whis is the price of the ticket and where is it located at?,REQUEST
Thanks that will be all.,SELECT
"Hi there, could you help me find a nice movie to watch?",INFORM_INTENT
Could you help search for movies shown in Livermore?,INFORM
Could you help find movies of the Adventure genre?,INFORM
"No, I do not intend to purchase the tickets now.",NEGATE_INTENT
What are the available showtimes for this movie?,INFORM_INTENT
I would like to watch it on the 2nd.,INFORM
That sounds amazing!,SELECT
"No, thank you for your help!",NEGATE
I would like to find the movie at AMC Mercado,INFORM
In Santa Clara and would like to watch a regular show.,INFORM
Can you fin another movie.,INFORM
Dumbo is good what time can I watch it?,INFORM_INTENT
On Saturday this week.,INFORM
"Yes, that is good.",SELECT
"No, thank you for the information.",NEGATE_INTENT
I have a lot of leisure time and i am going to make use of it. Will you find a movie to watch? Actually i like Drama kind of movies,INFORM
Is it possible to check for movies shown in Albany? I need to watch a regular show.,INFORM
Ok Red Joan is perfect. Please tell the time to watch it. I prefer the date is on the 5th,INFORM
ok that's all i needed.,SELECT
